"year","country","Military_Expenditure_Billion_USD","Active_Personnel","GDP_Growth_Percent","Inflation_Rate_Percent","Conflict_Severity_Index","Significant_Event","Exports_pct_GDP","FDI_net_inflows_pct_GDP","GDP_current_USD","GDP_growth_annual_pct","GDP_per_capita_current_USD","Imports_pct_GDP","Inflation_consumer_prices_annual_pct","Life_expectancy_years","Unemployment_total_pct","Brent_Oil_Price_USD_per_barrel","periode"
1970,"Iran",1.85,404771,1.34,11.85,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1971,"Iran",2.13,397057,4.15,6.25,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1972,"Iran",1.98,373236,1.02,7.55,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1973,"Iran",2.04,466243,0.94,15.26,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1974,"Iran",2.15,488155,2.79,10.77,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1975,"Iran",2.01,440093,0.83,9.64,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1976,"Iran",2.18,352573,5.24,13.17,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1977,"Iran",2.37,405029,1.5,15.56,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1978,"Iran",2.58,476678,5.4,11.62,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1979,"Iran",2.66,381653,-9,7.96,8,"Islamic Revolution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1980,"Iran",5.25,1500000,-2,22.27,10,"Iran-Iraq War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1981,"Iran",5.22,1500000,-2,21.16,10,"Iran-Iraq War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1982,"Iran",5.34,1500000,-2,24.33,10,"Iran-Iraq War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1983,"Iran",6.13,1500000,-2,26.3,10,"Iran-Iraq War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1984,"Iran",5.25,1500000,-2,21.64,10,"Iran-Iraq War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1985,"Iran",6.51,1500000,-2,25.37,10,"Iran-Iraq War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1986,"Iran",5.96,1500000,-2,22.89,10,"Iran-Iraq War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1987,"Iran",6.28,1500000,-2,24.86,10,"Iran-Iraq War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1988,"Iran",6.23,1500000,-2,26.6,10,"Iran-Iraq War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1989,"Iran",3.64,438929,2.88,8.02,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1990,"Iran",3.78,386408,0.86,9.32,1,"None",13.2787418004901,-0.289993217558947,124813263926.225,13.594926443584,2137.94222739877,23.801825898321,7.62767493763934,64.066,NA,23,"Conflit modéré"
1991,"Iran",3.72,481410,5.13,11.86,2,"None",13.8243202860364,0.0171607419557352,131637664958.014,12.7161484424098,2194.43906803657,30.3698513617678,17.1285679434012,66.233,11.1,20,"Conflit modéré"
1992,"Iran",3.78,455423,2.59,11.9,0,"None",13.1645906691731,0.0070970133460197,119768691216.667,3.29798191958058,1957.48507794252,27.233336583065,25.8077226162332,66.653,10.653,18,"Paix"
1993,"Iran",3.82,440600,4.36,10.62,2,"None",25.4101116466448,0.325601196600586,63743623232.012,-1.47101148218381,1038.10985682067,20.6307526777243,21.2026307547761,67.037,10.573,19,"Conflit modéré"
1994,"Iran",3.83,369541,1.34,13.16,1,"None",28.2861924143561,0.0027839077426266,71841461172.5964,-1.69828611909162,1167.76272513795,13.3229439837767,31.4470284237728,67.49,10.458,25,"Conflit modéré"
1995,"Iran",3.64,487809,6.21,1.86,2,"None",21.6762407043299,0.0176313384274561,96419225743.6737,2.40104455220023,1550.0095955025,13.4680042116275,49.6559858462746,67.904,9.904,20,"Conflit modéré"
1996,"Iran",3.78,424910,5.3,3.96,0,"None",20.1951302398727,0.0215939791939169,120403931885.441,6.35052601873645,1914.78121294313,15.0261689147315,28.9373440168137,68.328,9.1,18,"Paix"
1997,"Iran",4.1,484055,-0.66,6.15,2,"None",17.2779308650647,0.0465242180580812,113919163421.155,1.3503992743003,1790.06617575598,15.3716272465768,17.3492257538708,68.649,9.68,25,"Conflit modéré"
1998,"Iran",4.49,356640,7.58,11.46,0,"None",12.6833809123619,0.0217633947743042,110276913362.508,2.08001178027133,1709.19334096046,16.5448387339515,17.8661342130398,69.214,10.358,27,"Paix"
1999,"Iran",4.85,429273,3.06,12.99,2,"None",19.292023195998,0.0307426231739111,113848450088.351,2.00269623253435,1739.59462001458,15.5933909385954,20.0707078146866,69.686,11.176,30,"Conflit modéré"
2000,"Iran",5.11,475341,4.78,9.48,2,"None",21.4670575678483,0.0355866340456932,109591707802.216,5.84552747578209,1650.01385833785,19.7901898959548,14.4767513188567,70.166,11.698,35,"Conflit modéré"
2001,"Iran",4.69,366371,3.45,8.33,2,"None",19.3033203562353,0.321660450664957,126878750295.944,2.39217271207868,1881.02266635283,21.2322461232876,11.2742471332117,70.619,12.362,50,"Conflit modéré"
2002,"Iran",5.16,455373,0.14,4.72,0,"None",24.4139021536457,2.73611498145264,128626917503.72,8.07882927975243,1891.25756091033,23.75878439842,14.3359337378404,71.112,12.8,55,"Paix"
2003,"Iran",4.88,352050,-0.22,9.1,1,"None",24.6274728309232,1.89418626211609,151911222119.488,8.6392983972006,2208.99636552406,26.0516329444029,16.4680116244792,70.464,11.529,60,"Conflit modéré"
2004,"Iran",5.75,462573,0.32,11.91,0,"None",25.266928255823,1.61769687939769,187754571247.666,4.33666597851041,2672.4226651404,26.0469290707658,14.7615086970672,72.04,10.3,65,"Paix"
2005,"Iran",5.88,485566,6.6,7,2,"None",30.3308191865397,1.28425430112768,224970371324.67,3.18980408728824,3132.0508192007,24.1096760770139,13.433118008508,72.446,11.813,70,"Conflit modéré"
2006,"Iran",5.97,474988,4.63,5.4,2,"None",29.8690352505831,0.872560020177082,265602187403.643,4.99979526181222,3618.91601364428,23.2983234638014,10.0158982511924,72.895,11.519,75,"Conflit modéré"
2007,"Iran",5.34,478301,5.16,10.62,1,"None",28.8436124054165,0.5769461352122,349736591832.418,8.15577352358517,4687.99166260718,21.0436945171769,17.3410404624277,73.299,10.772,80,"Conflit modéré"
2008,"Iran",6.07,430435,3.2,8.02,0,"None",26.5771274521598,0.487596567096289,406070949553.875,0.250856553493634,5377.4115072957,21.6522753219841,25.4105090311987,73.683,10.63,85,"Paix"
2009,"Iran",5.69,391844,3.24,8.5,0,"None",22.7114891378215,0.720530462050838,414059094949.063,1.00738545790475,5415.52280553446,20.988091086537,13.5515548281506,74.041,12.113,90,"Paix"
2010,"Iran",5.9,495271,2.51,9.5,2,"None",24.399653282909,0.74916862626536,487069570463.768,5.79793830169604,6291.19443655454,19.3709904542309,10.0893629287979,74.39,13.679,95,"Conflit modéré"
2011,"Iran",6.43,396600,2.75,6.48,1,"None",24.9333131264674,0.679834574763516,629082257472.368,2.6457179180628,8025.68743364356,16.2861016653904,26.2933856738608,74.721,12.491,100,"Conflit modéré"
2012,"Iran",3.76,462855,-5,35,0,"None",22.4753001992586,0.723850091355471,644019315003.54,-3.74717139864109,8114.08099831877,21.6140464814866,27.2568127242908,75.039,12.275,105,"Paix"
2013,"Iran",4.06,410504,-5,35,1,"None",25.1829067419072,0.609501593960532,500399839839.877,-1.52197920494184,6222.74194840326,21.9038111775683,36.6030355191029,75.349,10.595,80,"Conflit modéré"
2014,"Iran",4.42,393642,-5,35,0,"None",22.8306723891643,0.45545387401938,462284793280.825,4.98477506709476,5672.06372896319,22.5207477521518,16.6065532357449,75.635,10.68,75,"Paix"
2015,"Iran",4.54,431121,-5,35,2,"None",18.7208345068656,0.500987695412685,409191686496.677,-1.42488493937503,4952.73355532178,20.7017541543144,12.4846815611533,75.907,11.166,70,"Conflit modéré"
2016,"Iran",8.05,462217,4.6,10.12,0,"None",20.3097816144481,0.70452835935243,478618064870.999,8.8150866425182,5710.59947089104,19.5674601594385,7.24542548952979,76.155,12.618,65,"Paix"
2017,"Iran",7.83,436988,3.47,13.57,1,"None",21.8329309946109,0.983654956177998,510239893417.645,3.02685468694025,6000.93346404409,21.3227621437797,8.04492437660278,76.396,12.232,60,"Conflit modéré"
2018,"Iran",5.95,478322,-3,40,2,"None",29.639694129412,0.576106085876311,411903303606.044,-3.74796015711334,4783.01067340237,26.975655484871,18.0141183371874,76.621,12.195,55,"Conflit modéré"
2019,"Iran",5.32,449616,-3,40,0,"None",22.3147082096412,0.433347777066285,347988400957.999,-2.36143538770575,3997.4935449585,26.2770630040625,39.9073455697784,76.855,10.74,50,"Paix"
2020,"Iran",5.42,455228,-3,40,1,"None",18.3903748639131,0.47769170946132,280934329279.723,4.44180865358672,3202.50003502169,25.4940926265882,30.5941390387295,74.141,9.687,45,"Conflit modéré"
2021,"Iran",6.62,419274,-3,40,2,"None",22.0192078360416,0.34982143161472,407350685583.335,4.13089685034471,4605.14881318992,20.6531717002195,43.3890162681514,73.752,9.282,70,"Conflit modéré"
2022,"Iran",6.75,418344,-3,40,1,"None",25.5666185174995,0.354893288694741,422662261525.665,4.35281087521344,4721.20437099984,23.3517323048057,43.4884641742179,76.799,9.085,75,"Conflit modéré"
2023,"Iran",6.12,442241,-3,40,0,"None",23.9216475542357,0.310885408088419,457510482317.483,5.33235117216407,5049.29931642754,25.4719025417845,44.5791857572797,77.654,8.129,80,"Paix"
2024,"Iran",6.7,425713,-3,40,7,"Israel-Iran Direct Strikes / Proxy War",23.5514720983508,0.304914200880697,475252089215.416,3.66312056830718,5190.16959024821,28.5106585810839,32.455871402917,NA,8.146,85,"Conflit intense"
